id,path,assetClass,provenance,evidenceState,role,status,replacementPriority
SM-ID-01,assets/brand/masters/steadymark-wordmark-primary.svg,identity-master,canonical-vector,n/a,primary-wordmark,approved,none
SM-ID-02,assets/brand/masters/steadymark-wordmark-stacked.svg,identity-master,canonical-vector,n/a,stacked-wordmark,approved,none
SM-ID-03,assets/brand/masters/steadymark-registration-mark.svg,identity-master,canonical-vector,n/a,registration-mark,approved,none
SM-ID-04,assets/brand/masters/steadymark-wordmark-primary-graphite.svg,identity-master,canonical-vector,n/a,graphite-monochrome,approved,none
SM-ID-05,assets/brand/masters/steadymark-wordmark-primary-white.svg,identity-master,canonical-vector,n/a,white-monochrome,approved,none
SM-ID-06,assets/brand/delivery/favicons/,identity-delivery,canonical-vector-derived,n/a,favicon-app-mark-family,approved,none
SM-HERO-01,assets/photography/representative/hero/SM-HERO-01-home-hero-primary.png,production-media,synthetic-representative,representative,home-hero,approved,medium
SM-SVC-01,assets/photography/representative/services/SM-SVC-01-make-readies-turns.png,production-media,synthetic-representative,representative,make-readies-turns,approved,high
SM-SVC-02,assets/photography/representative/services/SM-SVC-02-maintenance-property-support.png,production-media,synthetic-representative,representative,maintenance-property-support,approved,high
SM-SVC-03,assets/photography/representative/services/SM-SVC-03-repairs-punch-work.png,production-media,synthetic-representative,representative,repairs-punch-work,approved,high
SM-SVC-04,assets/photography/representative/services/SM-SVC-04-recurring-contract-support.png,production-media,synthetic-representative,representative,recurring-contract-support,approved,high
SM-PROP-01,assets/photography/representative/property/SM-PROP-01-multi-property-context.png,production-media,synthetic-representative,representative,multi-property-context,approved,medium
SM-MAT-01,assets/photography/representative/materials/SM-MAT-01-doors-hardware.png,production-media,synthetic-representative,representative,doors-hardware,approved,medium
SM-MAT-02,assets/photography/representative/materials/SM-MAT-02-walls-trim-finish.png,production-media,synthetic-representative,representative,walls-trim-finish,approved,medium
SM-MAT-03,assets/photography/representative/materials/SM-MAT-03-cabinet-fixture-primary.png,production-media,synthetic-representative,representative,cabinet-fixture,approved,medium
SM-MAT-04,assets/photography/representative/materials/SM-MAT-04-flooring-transition.png,production-media,synthetic-representative,representative,flooring-transition,approved,medium
SM-MAT-05,assets/photography/representative/materials/SM-MAT-05-working-materials.png,production-media,synthetic-representative,representative,working-materials,approved,medium
SM-ROB-01,assets/photography/representative/people/robert/approved-derivatives/SM-ROB-01-interior-working-wide.png,production-media,reference-derived,supported,robert-working-context,approved-candidate,high
SM-ROB-02,assets/photography/representative/people/robert/approved-derivatives/SM-ROB-02-interior-working-close.png,production-media,reference-derived,supported,robert-working-context,approved-candidate,high
SM-ROB-03,assets/photography/representative/people/robert/approved-derivatives/SM-ROB-03-exterior-working.png,production-media,reference-derived,supported,robert-working-context,approved-candidate,high
SM-SOC-01,assets/social/generated/,derived-production,deterministic-derived,n/a,open-graph-social-card,derive-in-build,n/a
